FK_ID,CONCERN_CODE,CATEGORY,CONCERN_DESCRIPTION,EST_DIAGNOSIS_MIN
200001,CC-OTH-001,All other,Administrative,30
200002,CC-OTH-002,All other,Insufficient Fluid,30
200003,CC-BRK-001,Braking,Brakes grab or lock up,60
200004,CC-BRK-002,Braking,Parking brake troubles,45
200005,CC-BRK-003,Braking,Excessive pressure required,45
200006,CC-BRK-004,Braking,Vehicle pulls left when braking,45
200007,CC-BRK-005,Braking,Vehicle pulls right when braking,45
200008,CC-BRK-006,Braking,Brake pedal spongy,45
200009,CC-BRK-007,Braking,Brakes too sensitive,45
200010,CC-BRK-008,Braking,Brake-ABS warning light troubles,45
200011,CC-BRK-009,Braking,Other brake troubles,55
200012,CC-BRK-010,Braking,Traction control/advance trac warning light troubles,45
200013,CC-BRK-011,Braking,Brake fluid leak,60
200014,CC-BRK-012,Braking,Noisey brakes,60
200015,CC-BRK-013,Braking,Vibration or shudder while braking,60
200016,CC-CLM-001,Climate Control Function,Air conditioning A/C slow to cool,45
200017,CC-CLM-002,Climate Control Function,Air conditioning A/C not cold enough,45
200018,CC-CLM-003,Climate Control Function,Heater-slow to heat,45
200019,CC-CLM-004,Climate Control Function,Heater-not hot enough,45
200020,CC-CLM-005,Climate Control Function,Air conditioning A/C does not work,45
200021,CC-CLM-006,Climate Control Function,Heater does not work,45
200022,CC-CLM-007,Climate Control Function,"Heater, defroster or air conditioning A/C noise",60
200023,CC-CLM-008,Climate Control Function,Windscreen/windshield defrost/defogging does not work,45
200024,CC-CLM-009,Climate Control Function,Side window defrost/defogging does not work,45
200025,CC-CLM-010,Climate Control Function,Register/ vent adjustment troubles,45
200026,CC-CLM-011,Climate Control Function,Other temperture control troubles,55
200027,CC-CLM-012,Climate Control Function,W'shield defrost/ defogging slow to clear/uneven clearing,45
200028,CC-CLM-013,Climate Control Function,Side wdo defrost/ defogging slow to clear/uneven clearing,45
200029,CC-CLM-014,Climate Control Function,Back window defrost/ defogging troubles,45
200030,CC-CLM-015,Climate Control Function,Air conditioning A/C water leak/ condensation troubles,60
200031,CC-COR-001,Corrosion,Rust Perforation,15
200032,CC-DRV-001,Driveability,Automatic speed/ cruise control - engagement,60
200033,CC-DRV-002,Driveability,Automatic speed/ cruise control - disengagement,60
200034,CC-DRV-003,Driveability,Automatic speed/ cruise control doesn’t maintain contant speed,60
200035,CC-DRV-004,Driveability,Engine would not start,60
200036,CC-DRV-005,Driveability,Engine difficult or slow to start,60
200037,CC-DRV-006,Driveability,Engine stalls,60
200038,CC-DRV-007,Driveability,Engine hesitates/ surges when accelerating,60
200039,CC-DRV-008,Driveability,Engine hesitates/ surges at steady speed,60
200040,CC-DRV-009,Driveability,Poor performance lacks power,60
