ITEM ID,ITEM_CODE,TASK NAME,TASK DESCRIPTION,SHOP TYPE,VEHICLE_SIZE,CATEGORY,SECTION,LTS,MRP,SEVERITY,DISSASSEMBLY_STAGE,BODY_REPAIR_STAGE,PAINT_PREP_STAGE,PAINT_SPRAY_STAGE,PRE_ASSEMBLY_STAGE,PAINT_CUTTING_STAGE,FINAL_ASSEMBLY_STAGE,POLISH_STAGE,TOTAL_STAGE_TIME
100001,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Small,Paintshop,Painting,,4100,Light,70,0,105,70,0,105,70,70,490
100002,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Medium,Paintshop,Painting,,4950,Light,70,0,140,70,0,140,70,105,595
100003,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Large,Paintshop,Painting,,5550,Light,70,0,210,70,0,140,70,105,665
100004,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Small,Paintshop,Painting,,4650,Medium,70,0,175,70,0,105,70,70,560
100005,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Medium,Paintshop,Painting,,5850,Medium,70,0,245,70,0,140,70,105,700
100006,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Large,Paintshop,Painting,,6700,Medium,70,0,315,70,0,175,70,105,805
100007,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Small,Paintshop,Painting,,5550,Severe,70,0,280,70,0,105,70,70,665
100008,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Medium,Paintshop,Painting,,6700,Severe,70,0,350,70,0,140,70,105,805
100009,PT-PNT-BNT,PAINT - BONNET,,Paintshop,Large,Paintshop,Painting,,7600,Severe,70,0,420,70,0,175,70,105,910
100010,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Small,Paintshop,Painting,,4650,Light,80,0,120,80,0,120,80,80,560
100011,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Medium,Paintshop,Painting,,5650,Light,80,0,160,80,0,160,80,120,680
100012,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Large,Paintshop,Painting,,6350,Light,80,0,240,80,0,160,80,120,760
100013,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Small,Paintshop,Painting,,5350,Medium,80,0,200,80,0,120,80,80,640
100014,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Medium,Paintshop,Painting,,6650,Medium,80,0,280,80,0,160,80,120,800
100015,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Large,Paintshop,Painting,,7650,Medium,80,0,360,80,0,200,80,120,920
100016,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Small,Paintshop,Painting,,6350,Severe,80,0,320,80,0,120,80,80,760
100017,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Medium,Paintshop,Painting,,7650,Severe,80,0,400,80,0,160,80,120,920
100018,PT-PNT-RFT,PAINT - ROOF,,Paintshop,Large,Paintshop,Painting,,8650,Severe,80,0,480,80,0,200,80,120,1040
100019,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Small,Paintshop,Painting,,3850,Light,65,0,100,65,0,100,65,65,460
100020,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Medium,Paintshop,Painting,,4600,Light,65,0,130,65,0,130,65,100,555
100021,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Large,Paintshop,Painting,,5150,Light,65,0,195,65,0,130,65,100,620
100022,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Small,Paintshop,Painting,,4350,Medium,65,0,160,65,0,100,65,65,520
100023,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Medium,Paintshop,Painting,,5450,Medium,65,0,230,65,0,130,65,100,655
100024,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Large,Paintshop,Painting,,6200,Medium,65,0,290,65,0,160,65,100,745
100025,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Small,Paintshop,Painting,,5150,Severe,65,0,260,65,0,100,65,65,620
100026,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Medium,Paintshop,Painting,,6250,Severe,65,0,325,65,0,130,65,100,750
100027,PT-PNT-BOT,PAINT - BOOT/TAILGATE,,Paintshop,Large,Paintshop,Painting,,7050,Severe,65,0,390,65,0,160,65,100,845
100028,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Small,Paintshop,Painting,,2900,Light,50,0,75,50,0,75,50,50,350
100029,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Medium,Paintshop,Painting,,3550,Light,50,0,100,50,0,100,50,75,425
100030,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Large,Paintshop,Painting,,3950,Light,50,0,150,50,0,100,50,75,475
100031,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Small,Paintshop,Painting,,3350,Medium,50,0,125,50,0,75,50,50,400
100032,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Medium,Paintshop,Painting,,4150,Medium,50,0,175,50,0,100,50,75,500
100033,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Large,Paintshop,Painting,,4800,Medium,50,0,225,50,0,125,50,75,575
100034,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Small,Paintshop,Painting,,3950,Severe,50,0,200,50,0,75,50,50,475
100035,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Medium,Paintshop,Painting,,4800,Severe,50,0,250,50,0,100,50,75,575
100036,PT-PNT-FLD,PAINT - FRONT LH DOOR,,Paintshop,Large,Paintshop,Painting,,5400,Severe,50,0,300,50,0,125,50,75,650
100037,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Small,Paintshop,Painting,,2900,Light,50,0,75,50,0,75,50,50,350
100038,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Medium,Paintshop,Painting,,3550,Light,50,0,100,50,0,100,50,75,425
100039,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Large,Paintshop,Painting,,3950,Light,50,0,150,50,0,100,50,75,475
100040,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Small,Paintshop,Painting,,3350,Medium,50,0,125,50,0,75,50,50,400
100041,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Medium,Paintshop,Painting,,4150,Medium,50,0,175,50,0,100,50,75,500
100042,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Large,Paintshop,Painting,,4800,Medium,50,0,225,50,0,125,50,75,575
100043,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Small,Paintshop,Painting,,3950,Severe,50,0,200,50,0,75,50,50,475
100044,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Medium,Paintshop,Painting,,4800,Severe,50,0,250,50,0,100,50,75,575
100045,PT-PNT-FRD,PAINT - FRONT RH DOOR,,Paintshop,Large,Paintshop,Painting,,5400,Severe,50,0,300,50,0,125,50,75,650
100046,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Small,Paintshop,Painting,,2900,Light,50,0,75,50,0,75,50,50,350
100047,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Medium,Paintshop,Painting,,3550,Light,50,0,100,50,0,100,50,75,425
100048,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Large,Paintshop,Painting,,3950,Light,50,0,150,50,0,100,50,75,475
100049,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Small,Paintshop,Painting,,3350,Medium,50,0,125,50,0,75,50,50,400
100050,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Medium,Paintshop,Painting,,4150,Medium,50,0,175,50,0,100,50,75,500
100051,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Large,Paintshop,Painting,,4800,Medium,50,0,225,50,0,125,50,75,575
100052,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Small,Paintshop,Painting,,3950,Severe,50,0,200,50,0,75,50,50,475
100053,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Medium,Paintshop,Painting,,4800,Severe,50,0,250,50,0,100,50,75,575
100054,PT-PNT-RLD,PAINT - REAR LH DOOR,,Paintshop,Large,Paintshop,Painting,,5400,Severe,50,0,300,50,0,125,50,75,650
100055,PT-PNT-RRD,PAINT - REAR RH DOOR,,Paintshop,Small,Paintshop,Painting,,2900,Light,50,0,75,50,0,75,50,50,350
100056,PT-PNT-RRD,PAINT - REAR RH DOOR,,Paintshop,Medium,Paintshop,Painting,,3550,Light,50,0,100,50,0,100,50,75,425
100057,PT-PNT-RRD,PAINT - REAR RH DOOR,,Paintshop,Large,Paintshop,Painting,,3950,Light,50,0,150,50,0,100,50,75,475
