Category,Code,Service Description,Time (hrs),Rate/hr (BDT),Price (BDT)
Periodic Maintenance,PMS-001,"1,000 km Initial Service",1,1500,1500
Periodic Maintenance,PMS-005,"5,000 km Periodic Maintenance",1.2,1500,1800
Periodic Maintenance,PMS-010,"10,000 km Periodic Maintenance",1.5,1500,2250
Periodic Maintenance,PMS-020,"20,000 km Major Service",2,1500,3000
Periodic Maintenance,PMS-030,"30,000 km Major Service",2.2,1500,3300
Periodic Maintenance,PMS-040,"40,000 km Major Service",2.5,1500,3750
Periodic Maintenance,PMS-050,"50,000 km Major Service",2.5,1500,3750
Periodic Maintenance,PMS-060,"60,000 km Major Service",3,1500,4500
Periodic Maintenance,PMS-070,"70,000 km Service",2.5,1500,3750
Periodic Maintenance,PMS-080,"80,000 km Service",3,1500,4500
Periodic Maintenance,PMS-100,"100,000 km Major Service (Timing Belt etc.)",4,1500,6000
Periodic Maintenance,PMS-110,Engine Oil & Filter Replacement,0.5,1500,750
Periodic Maintenance,PMS-120,Oil Filter Only Replacement,0.3,1500,450
Periodic Maintenance,PMS-130,Fuel Filter Replacement,0.5,1500,750
Periodic Maintenance,PMS-140,Air Filter Replacement,0.3,1500,450
Periodic Maintenance,PMS-150,Cabin/AC Filter Replacement,0.3,1500,450
Periodic Maintenance,PMS-160,Coolant Replacement & Bleeding,1,1500,1500
Periodic Maintenance,PMS-170,Brake Fluid Flush & Replacement,1,1500,1500
Periodic Maintenance,PMS-180,Transmission Fluid Change (ATF),1,1500,1500
Periodic Maintenance,PMS-190,Differential Oil Change,0.8,1500,1200
Engine,ENG-001,Spark Plug Replacement (4 cyl),0.5,1500,750
Engine,ENG-002,Spark Plug Replacement (6 cyl),0.8,1500,1200
Engine,ENG-003,Spark Plug Replacement (8 cyl),1,1500,1500
Engine,ENG-004,Ignition Coil Replacement (per piece),0.4,1500,600
Engine,ENG-005,Air Intake Hose Replacement,0.5,1500,750
Engine,ENG-006,Fuel Injector Cleaning (per set – 4 cyl),1.5,1500,2250
Engine,ENG-007,Fuel Injector Replacement (per piece),0.8,1500,1200
Engine,ENG-008,Engine Oil Pan Removal & Reseal,2,1500,3000
Engine,ENG-009,Valve Cover Gasket Replacement (4 cyl),1.5,1500,2250
Engine,ENG-010,Cylinder Head Gasket Replacement (4 cyl),6,1500,9000
Engine,ENG-011,Cylinder Head Gasket Replacement (6 cyl),8,1500,12000
Engine,ENG-012,Timing Belt Replacement (4 cyl),3,1500,4500
Engine,ENG-013,Timing Belt Replacement (6 cyl),4,1500,6000
Engine,ENG-014,Timing Chain Replacement (4 cyl),5,1500,7500
Engine,ENG-015,Water Pump Replacement,2,1500,3000
Engine,ENG-016,Radiator Replacement,1.5,1500,2250
Engine,ENG-017,Thermostat Replacement,0.8,1500,1200
Engine,ENG-018,Engine Mount Replacement (per piece),1,1500,1500
Engine,ENG-019,Oil Pump Replacement,4,1500,6000
Engine,ENG-020,Engine Overhaul (4 cyl) – Complete Rebuild,20,1500,30000
Engine,ENG-021,Engine Overhaul (6 cyl) – Complete Rebuild,25,1500,37500
Engine,ENG-022,Engine Overhaul (8 cyl) – Complete Rebuild,30,1500,45000
Engine,ENG-023,Turbocharger Replacement (single),5,1500,7500
Engine,ENG-024,Turbocharger Cleaning & Service,3,1500,4500
Engine,ENG-025,EGR Valve Cleaning,1.5,1500,2250
Engine,ENG-026,EGR Valve Replacement,2,1500,3000
Engine,ENG-027,Intake Manifold Cleaning (Carbon Clean),2.5,1500,3750
Engine,ENG-028,Throttle Body Cleaning,0.8,1500,1200
Engine,ENG-029,Engine Removal & Refit (4 cyl),8,1500,12000
Engine,ENG-030,Engine Removal & Refit (6 cyl),10,1500,15000
Engine,ENG-031,Engine Removal & Refit (8 cyl),12,1500,18000
Engine,ENG-032,Alternator Replacement,1.2,1500,1800
Engine,ENG-033,Starter Motor Replacement,1,1500,1500
Engine,ENG-034,Drive Belt / Serpentine Belt Replacement,0.5,1500,750
Engine,ENG-035,Crankshaft Seal Replacement,4,1500,6000
Engine,ENG-036,Camshaft Seal Replacement,3,1500,4500
Engine,ENG-037,Head Skimming & Reassembly (labour only),5,1500,7500
Engine,ENG-038,Piston Ring Replacement (4 cyl),12,1500,18000
Engine,ENG-039,Oil Change + Filter + Gasket Reseal Package,1,1500,1500
Engine,ENG-040,Cooling System Pressure Test & Inspection,0.5,1500,750
Transmission,TRN-001,Manual Transmission Oil Change,1,1500,1500
Transmission,TRN-002,Automatic Transmission ATF Change,1,1500,1500
Transmission,TRN-003,CVT Fluid Replacement,1.5,1500,2250
Transmission,TRN-004,"Clutch Overhaul (Disc, Cover, Bearing)",3.5,1500,5250
Transmission,TRN-005,Clutch Master Cylinder Replacement,1.2,1500,1800
Transmission,TRN-006,Clutch Slave Cylinder Replacement,1,1500,1500
Transmission,TRN-007,Gear Shift Cable Replacement,1.5,1500,2250
Transmission,TRN-008,Transmission Mount Replacement,1,1500,1500
Transmission,TRN-009,Transmission Removal & Refit (M/T),6,1500,9000
Transmission,TRN-010,Transmission Removal & Refit (A/T),8,1500,12000
Transmission,TRN-011,Transmission Overhaul (M/T – 5 speed),15,1500,22500
Transmission,TRN-012,Transmission Overhaul (A/T – 4/5 speed),20,1500,30000
Transmission,TRN-013,Transmission Overhaul (CVT),22,1500,33000
Transmission,TRN-014,Transfer Case Oil Change,0.8,1500,1200
